album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,High For This,5ViIbEgXhDBsLEapDKISRC,0.441,0.395,B,-9.662,minor,0.0972,0.763,7.42e-4,0.076,0.0699,75.011,247560,4,B minor,36,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,What You Need,2lYqACur6GgSnRTiVhUaUm,0.497,0.39,G,-9.357,minor,0.084,0.514,0.0969,0.149,0.0742,133.584,196653,4,G minor,33,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,House Of Balloons / Glass Table Girls - Album Version (Edited),4jVnYS7HVq2qKh0I1wDoIc,0.645,0.705,C,-5.723,major,0.0406,0.0107,0.00477,0.372,0.291,88.964,405773,4,C major,32,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,The Morning - Album Version (Edited),47c0P4sWcp9FIv5ryQZ5dr,0.657,0.559,F#,-7.932,minor,0.042,0.33,0,0.0817,0.184,120.055,312640,4,F# minor,34,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Wicked Games,5OVYR3bs1pnmQ5wMWUQnZZ,0.655,0.583,A,-5.581,major,0.0314,0.00776,5.55e-6,0.249,0.302,114.075,323987,4,A major,39,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,The Party & The After Party - Album Version (Edited),34jUlvCSF0vZpsneVaeNPm,0.681,0.642,F,-7.404,minor,0.0898,0.498,0,0.1,0.356,101.857,458787,4,F minor,30,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Coming Down,4QzEQf6b1RvlVtrqDEcfvB,0.672,0.602,D,-5.472,minor,0.0299,0.404,4.22e-5,0.172,0.26,120.971,295853,4,D minor,29,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Loft Music - Album Version (Edited),1Ngm5f21E4RjPPz63xzEVn,0.291,0.493,F#,-7.558,minor,0.134,0.57,6.62e-5,0.365,0.0601,80.763,365040,4,F# minor,29,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,The Knowing,0O5pYfp9enRuEqwz2b7afL,0.459,0.557,F#,-8.999,minor,0.0291,0.586,0.027,0.168,0.114,85.971,340600,4,F# minor,28,The Weeknd
4NQNWfXDGo6MPCscpwuTgz,Trilogy,https://i.scdn.co/image/5eeea2eae09dae3f224f4d440e8222825c124b28,2013-01-01,2013-01-01,41,Twenty Eight,2paLNiRPdyEiDa0es9kEsg,0.641,0.633,D#,-7.115,minor,0.0339,0.555,1.52e-4,0.12,0.239,129.969,258733,4,D# minor,32,The Weeknd
