"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Intro","0DAsxISzun85PbsqAfIzeC",0.617,0.778,"A",-8.871,"minor",0.027,0.459,0.925,0.128,0.152,100.363,127920,4,"A minor",66,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"VCR","4vU90MimdQpV2e1wPi1ljJ",0.755,0.482,"C",-12.729,"major",0.03,0.891,0.818,0.1,0.481,109.354,177093,4,"C major",52,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Crystalised","1nmCmB3qdXrzxFhvLJuhuB",0.763,0.484,"B",-12.368,"minor",0.0311,0.812,0.393,0.0841,0.416,122.913,201947,4,"B minor",56,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Islands","27BpBnTNtY9SBrE3EusnM6",0.871,0.472,"E",-11.077,"major",0.0756,0.74,0.286,0.145,0.707,124.04,160720,4,"E major",54,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Heart Skipped A Beat","1O4pg2612aT6PGCAp6Wt1V",0.825,0.347,"B",-13.148,"major",0.0504,0.551,0.813,0.0893,0.511,122.744,242267,4,"B major",50,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Fantasy","0AdA0M0xJSlWwGjiSdoSSy",0.151,0.0749,"G#",-15.489,"major",0.0406,0.678,0.911,0.11,0.0345,63.222,158240,5,"G# major",45,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Shelter","5YeF3yVKzbxW1KI4kPcSVo",0.265,0.377,"C",-15.678,"major",0.0797,0.802,0.536,0.107,0.0621,214.131,270240,4,"C major",48,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Basic Space","4ORbUYpR6MDsJYTHh3xBWH",0.94,0.208,"A",-15.235,"minor",0.0853,0.21,0.085,0.105,0.148,115.872,188120,4,"A minor",47,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Infinity","17eEVo7K960G9wGKNS6rag",0.626,0.267,"A",-13.962,"major",0.0301,0.812,0.882,0.111,0.142,109.191,313387,4,"A major",48,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Night Time","5xkNgedTp6xrbqt5gdq6TE",0.68,0.391,"B",-11.754,"minor",0.032,0.509,0.186,0.122,0.137,122.007,216853,4,"B minor",46,"The XX"
"2rmMeEq5D1Bg7YFRwtHBDr","xx","https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c","2009-08-18",2009-08-18,59,"Stars","57x3uHJoS1IaJ7XgCGeMtM",0.676,0.2,"A",-17.735,"minor",0.0282,0.826,0.0289,0.144,0.176,104.016,262640,4,"A minor",48,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Angels","1zuKjpp4t7BS8JPKi6mkQr",0.424,0.157,"A",-18.141,"major",0.0428,0.95,0.0593,0.101,0.342,91.537,171653,4,"A major",69,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Chained","1zQX8Tf3fRYw8Djxh5kUKq",0.732,0.468,"A",-13.662,"minor",0.0409,0.482,0.809,0.371,0.187,118.994,167547,4,"A minor",55,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Fiction","2WWkBERKDC4MZN8nhiAdQQ",0.786,0.362,"G",-13.785,"minor",0.0373,0.695,0.408,0.0897,0.642,115.022,176480,4,"G minor",57,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Try","0PgejWYSlSaTwzxwCI15pW",0.558,0.181,"D",-18.213,"major",0.0413,0.638,0.154,0.0887,0.116,96.004,195427,4,"D major",51,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Reunion","2B4p8xjpBFP8ZinAtewfrB",0.692,0.367,"F#",-16.224,"minor",0.0662,0.839,0.685,0.113,0.0514,112.203,237173,4,"F# minor",54,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Sunset","7DImv0qWPEiAYUPJ0yKuDd",0.835,0.182,"D",-15.876,"major",0.0762,0.557,0.456,0.113,0.369,119.98,218587,4,"D major",59,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Missing","6hUbZBdGn909BiTsv70HP6",0.202,0.294,"G",-13.687,"major",0.0451,0.63,0.0415,0.0992,0.0398,79.308,213507,4,"G major",54,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Tides","12DE4ela8kEMRNIEYEhKy2",0.714,0.212,"A",-13.178,"minor",0.0444,0.727,0.145,0.0644,0.356,99.033,181000,4,"A minor",51,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Unfold","39er5vmZ8JXatAKaLaplkl",0.259,0.25,"D",-20.716,"major",0.0518,0.829,0.242,0.112,0.0789,199.768,182920,3,"D major",50,"The XX"
"2cRMVS71c49Pf5SnIlJX3U","Coexist","https://i.scdn.co/image/157e70e972abd949119a276f6543930ff2c8316d","2012-09-10",2012-09-10,62,"Swept Away","3DKqZWrdtLBNKT9OOcdTK2",0.773,0.366,"E",-15.95,"minor",0.056,0.669,0.496,0.0727,0.0608,116.053,299253,4,"E minor",49,"The XX"
